*** discogem_multi_leaves_0.3 ***

 Positive Association 
______________________________


*** discogem_multi_leaves_0.3 ***

 Negative Association 
synchronous          | precedence           | 0.02    | 
conjunction          | instantiation        | 0.0231  | 
conjunction          | level-of-detail      | 0.1202  | 
conjunction          | substitution         | 0.0     | 
disjunction          | instantiation        | 0.0     | 
disjunction          | level-of-detail      | 0.0     | 
disjunction          | substitution         | 0.0     | 
instantiation        | level-of-detail      | 0.0701  | 
instantiation        | substitution         | 0.0     | 
level-of-detail      | substitution         | 0.0017  | 
______________________________


*** discogem_multi_level2_0.4 ***

 Positive Association 
______________________________


*** discogem_multi_level2_0.4 ***

 Negative Association 
synchronous          | asynchronous         | 0.007   | 
synchronous          | cause                | 0.0     | 
synchronous          | concession           | 0.0     | 
synchronous          | contrast             | 0.0     | 
synchronous          | similarity           | 0.0     | 
synchronous          | conjunction          | 0.002   | 
synchronous          | disjunction          | 0.0     | 
synchronous          | instantiation        | 0.0     | 
synchronous          | level-of-detail      | 0.0     | 
synchronous          | substitution         | 0.0     | 
asynchronous         | cause                | 0.018   | 
asynchronous         | concession           | 0.0026  | 
asynchronous         | contrast             | 0.0     | 
asynchronous         | similarity           | 0.0     | 
asynchronous         | conjunction          | 0.0175  | 
asynchronous         | disjunction          | 0.0     | 
asynchronous         | instantiation        | 0.0     | 
asynchronous         | level-of-detail      | 0.0     | 
asynchronous         | substitution         | 0.0     | 
cause                | concession           | 0.0101  | 
cause                | contrast             | 0.0019  | 
cause                | similarity           | 0.0005  | 
cause                | conjunction          | 0.0354  | 
cause                | disjunction          | 0.0     | 
cause                | instantiation        | 0.0058  | 
cause                | level-of-detail      | 0.0364  | 
cause                | substitution         | 0.0005  | 
concession           | contrast             | 0.0111  | 
concession           | similarity           | 0.0     | 
concession           | conjunction          | 0.0072  | 
concession           | disjunction          | 0.0     | 
concession           | instantiation        | 0.0017  | 
concession           | level-of-detail      | 0.0036  | 
concession           | substitution         | 0.0     | 
contrast             | similarity           | 0.0     | 
contrast             | conjunction          | 0.0026  | 
contrast             | disjunction          | 0.0     | 
contrast             | instantiation        | 0.0     | 
contrast             | level-of-detail      | 0.0     | 
contrast             | substitution         | 0.0     | 
similarity           | conjunction          | 0.0089  | 
similarity           | disjunction          | 0.0     | 
similarity           | instantiation        | 0.0     | 
similarity           | level-of-detail      | 0.0     | 
similarity           | substitution         | 0.0     | 
conjunction          | disjunction          | 0.0     | 
conjunction          | instantiation        | 0.0036  | 
conjunction          | level-of-detail      | 0.037   | 
conjunction          | substitution         | 0.0     | 
disjunction          | instantiation        | 0.0     | 
disjunction          | level-of-detail      | 0.0     | 
disjunction          | substitution         | 0.0     | 
instantiation        | level-of-detail      | 0.0163  | 
instantiation        | substitution         | 0.0     | 
level-of-detail      | substitution         | 0.001   | 
______________________________


*** discogem_multi_level2_0.5 ***

 Positive Association 
______________________________


*** discogem_multi_level2_0.5 ***

 Negative Association 
synchronous          | asynchronous         | 0.0     | 
synchronous          | cause                | 0.0     | 
synchronous          | concession           | 0.0     | 
synchronous          | contrast             | 0.0     | 
synchronous          | similarity           | 0.0     | 
synchronous          | conjunction          | 0.0     | 
synchronous          | instantiation        | 0.0     | 
synchronous          | level-of-detail      | 0.0     | 
synchronous          | substitution         | 0.0     | 
asynchronous         | cause                | 0.0018  | 
asynchronous         | concession           | 0.0021  | 
asynchronous         | contrast             | 0.0     | 
asynchronous         | similarity           | 0.0     | 
asynchronous         | conjunction          | 0.0026  | 
asynchronous         | instantiation        | 0.0     | 
asynchronous         | level-of-detail      | 0.0     | 
asynchronous         | substitution         | 0.0     | 
cause                | concession           | 0.0013  | 
cause                | contrast             | 0.0     | 
cause                | similarity           | 0.0     | 
cause                | conjunction          | 0.0022  | 
cause                | instantiation        | 0.0     | 
cause                | level-of-detail      | 0.0052  | 
cause                | substitution         | 0.0     | 
concession           | contrast             | 0.0038  | 
concession           | similarity           | 0.0     | 
concession           | conjunction          | 0.0     | 
concession           | instantiation        | 0.0     | 
concession           | level-of-detail      | 0.0     | 
concession           | substitution         | 0.0     | 
contrast             | similarity           | 0.0     | 
contrast             | conjunction          | 0.0     | 
contrast             | instantiation        | 0.0     | 
contrast             | level-of-detail      | 0.0     | 
contrast             | substitution         | 0.0     | 
similarity           | conjunction          | 0.0022  | 
similarity           | instantiation        | 0.0     | 
similarity           | level-of-detail      | 0.0     | 
similarity           | substitution         | 0.0     | 
conjunction          | instantiation        | 0.002   | 
conjunction          | level-of-detail      | 0.0007  | 
conjunction          | substitution         | 0.0     | 
instantiation        | level-of-detail      | 0.0028  | 
instantiation        | substitution         | 0.0     | 
level-of-detail      | substitution         | 0.0     | 
______________________________


*** qadc_multi_leaves_0.3 ***

 Positive Association 
______________________________


*** qadc_multi_leaves_0.3 ***

 Negative Association 
synchronous          | precedence           | 0.0     | 
synchronous          | succession           | 0.0     | 
synchronous          | reason               | 0.0     | 
synchronous          | result               | 0.0056  | 
synchronous          | arg1-as-goal         | 0.0     | 
synchronous          | arg2-as-goal         | 0.0     | 
synchronous          | arg1-as-denier       | 0.0     | 
synchronous          | arg2-as-denier       | 0.0     | 
synchronous          | contrast             | 0.0     | 
synchronous          | similarity           | 0.0     | 
synchronous          | conjunction          | 0.0099  | 
synchronous          | disjunction          | 0.0     | 
synchronous          | arg1-as-instance     | 0.0     | 
synchronous          | arg2-as-instance     | 0.0     | 
synchronous          | arg1-as-detail       | 0.0     | 
synchronous          | arg2-as-detail       | 0.0     | 
synchronous          | arg2-as-manner       | 0.0     | 
precedence           | succession           | 0.1154  | 
precedence           | reason               | 0.0052  | 
precedence           | result               | 0.0766  | 
precedence           | arg1-as-goal         | 0.0     | 
precedence           | arg2-as-goal         | 0.0     | 
precedence           | arg1-as-denier       | 0.0     | 
precedence           | arg2-as-denier       | 0.0     | 
precedence           | contrast             | 0.0088  | 
precedence           | similarity           | 0.0     | 
precedence           | conjunction          | 0.0264  | 
precedence           | disjunction          | 0.0     | 
precedence           | arg1-as-instance     | 0.0     | 
precedence           | arg2-as-instance     | 0.0     | 
precedence           | arg1-as-detail       | 0.0     | 
precedence           | arg2-as-detail       | 0.0157  | 
precedence           | arg2-as-manner       | 0.0     | 
succession           | reason               | 0.0     | 
succession           | result               | 0.0056  | 
succession           | arg1-as-goal         | 0.0     | 
succession           | arg2-as-goal         | 0.0     | 
succession           | arg1-as-denier       | 0.0     | 
succession           | arg2-as-denier       | 0.0     | 
succession           | contrast             | 0.0182  | 
succession           | similarity           | 0.0     | 
succession           | conjunction          | 0.0049  | 
succession           | disjunction          | 0.0     | 
succession           | arg1-as-instance     | 0.0     | 
succession           | arg2-as-instance     | 0.0147  | 
succession           | arg1-as-detail       | 0.0     | 
succession           | arg2-as-detail       | 0.0038  | 
succession           | arg2-as-manner       | 0.0     | 
reason               | result               | 0.007   | 
reason               | arg1-as-goal         | 0.0     | 
reason               | arg2-as-goal         | 0.0     | 
reason               | arg1-as-denier       | 0.0     | 
reason               | arg2-as-denier       | 0.0     | 
reason               | contrast             | 0.0062  | 
reason               | similarity           | 0.0079  | 
reason               | conjunction          | 0.0533  | 
reason               | disjunction          | 0.0     | 
reason               | arg1-as-instance     | 0.0     | 
reason               | arg2-as-instance     | 0.0292  | 
reason               | arg1-as-detail       | 0.0     | 
reason               | arg2-as-detail       | 0.0723  | 
reason               | arg2-as-manner       | 0.0     | 
result               | arg1-as-goal         | 0.006   | 
result               | arg2-as-goal         | 0.0     | 
result               | arg1-as-denier       | 0.0057  | 
result               | arg2-as-denier       | 0.0059  | 
result               | contrast             | 0.0048  | 
result               | similarity           | 0.0     | 
result               | conjunction          | 0.0488  | 
result               | disjunction          | 0.0059  | 
result               | arg1-as-instance     | 0.0115  | 
result               | arg2-as-instance     | 0.0     | 
result               | arg1-as-detail       | 0.0057  | 
result               | arg2-as-detail       | 0.0348  | 
result               | arg2-as-manner       | 0.0     | 
arg1-as-goal         | arg2-as-goal         | 0.0     | 
arg1-as-goal         | arg1-as-denier       | 0.0     | 
arg1-as-goal         | arg2-as-denier       | 0.0     | 
arg1-as-goal         | contrast             | 0.0     | 
arg1-as-goal         | similarity           | 0.0     | 
